country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-15,2,-3,0,0,2,-1
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-16,-7,-5,-9,-5,-3,1
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-17,-5,-6,-21,-4,7,1
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-18,-4,-3,-16,-4,7,1
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-19,3,0,-4,2,7,-1
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-20,-1,-3,-14,0,6,0
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-21,-2,-1,-27,-4,7,0
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-22,2,0,-11,-3,1,0
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-23,5,1,0,-6,0,2
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-24,-8,-7,29,-10,-36,6
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-25,-20,-12,-7,-14,-36,5
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-26,-3,0,-9,0,3,0
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-27,-5,-6,-3,-1,4,1
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-28,-2,-2,-12,-3,5,0
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-02-29,1,0,-10,-6,2,1
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-01,-11,-5,-17,-15,-7,4
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-02,4,6,-14,1,15,0
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-03,3,11,-12,4,19,-1
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-04,5,12,-14,6,20,-2
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-05,1,4,-14,5,21,-2
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-06,5,6,-17,6,23,-3
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-07,7,3,-13,-4,5,1
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-08,2,3,-13,-10,-2,3
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-09,2,4,-25,6,24,-2
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-10,-1,3,-22,4,24,-2
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-11,-3,1,-32,2,22,-2
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-12,-5,0,-22,1,21,-1
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-13,-5,9,-25,1,23,-2
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-14,-30,-2,-57,-32,-3,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-15,-39,-6,-59,-40,-12,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-16,-30,-9,-45,-27,-1,8
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-17,-44,-19,-58,-37,-12,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-18,-53,-17,-67,-47,-24,16
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-19,-56,-23,-67,-49,-27,17
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-20,-54,-21,-63,-46,-28,18
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-21,-62,-30,-68,-56,-27,18
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-22,-74,-42,-78,-68,-33,21
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-23,-57,-30,-68,-53,-33,19
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-24,-62,-39,-69,-56,-38,19
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-25,-62,-37,-71,-57,-40,20
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-26,-65,-41,-70,-58,-41,21
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-27,-63,-38,-71,-58,-39,22
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-28,-68,-41,-76,-64,-34,20
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-29,-75,-45,-79,-71,-35,22
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-30,-60,-37,-69,-57,-39,20
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-03-31,-62,-35,-72,-59,-41,20
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-01,-62,-33,-73,-60,-43,21
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-02,-57,-26,-70,-55,-42,20
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-03,-53,-20,-66,-52,-39,21
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-04,-58,-24,-71,-57,-32,19
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-05,-71,-36,-79,-68,-35,21
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-06,-55,-26,-69,-55,-48,21
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-07,-56,-25,-70,-55,-50,21
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-08,-55,-22,-70,-54,-50,20
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-09,-63,-26,-71,-60,-58,23
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-10,-76,-42,-77,-70,-67,28
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-11,-68,-29,-75,-63,-43,20
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-12,-71,-32,-79,-66,-32,20
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-13,-47,-26,-66,-49,-34,18
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-14,-60,-37,-74,-60,-39,20
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-15,-52,-25,-69,-51,-36,18
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-16,-53,-28,-65,-49,-34,18
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-17,-52,-26,-66,-49,-32,19
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-18,-56,-29,-67,-56,-25,16
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-19,-66,-36,-71,-64,-28,18
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-20,-48,-31,-60,-49,-29,16
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-21,-53,-33,-65,-50,-30,16
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-22,-52,-32,-64,-50,-31,16
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-23,-54,-35,-62,-50,-31,17
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-24,-55,-34,-68,-52,-30,18
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-25,-61,-37,-76,-60,-27,18
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-26,-66,-37,-73,-64,-28,19
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-27,-51,-35,-67,-50,-28,17
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-28,-63,-44,-75,-60,-34,16
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-29,-48,-23,-63,-46,-28,15
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-04-30,-43,-8,-59,-42,-28,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-01,-83,-75,-74,-78,-73,27
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-02,-48,-19,-62,-50,-25,15
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-03,-59,-30,-64,-58,-24,16
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-04,-44,-28,-63,-46,-24,15
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-05,-45,-24,-65,-47,-26,15
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-06,-41,-18,-62,-42,-25,15
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-07,-40,-20,-55,-39,-24,14
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-08,-36,-15,-55,-39,-21,15
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-09,-36,-10,-53,-39,-16,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-10,-48,-17,-56,-46,-13,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-11,-35,-21,-53,-38,-20,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-12,-39,-22,-53,-38,-21,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-13,-39,-20,-54,-38,-21,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-14,-41,-25,-54,-40,-21,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-15,-41,-22,-59,-41,-20,14
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-16,-38,-18,-47,-40,-14,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-17,-48,-24,-50,-49,-17,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-18,-40,-28,-47,-43,-34,15
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-19,-37,-23,-45,-37,-17,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-20,-37,-20,-46,-36,-19,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-21,-52,-35,-68,-49,-24,17
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-22,-50,-30,-69,-50,-22,17
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-23,-45,-21,-62,-47,-15,14
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-24,-54,-28,-63,-53,-19,15
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-25,-43,-30,-63,-45,-18,14
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-26,-44,-30,-60,-43,-15,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-27,-39,-23,-50,-38,-15,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-28,-41,-26,-48,-38,-16,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-29,-39,-21,-51,-38,-14,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-30,-39,-17,-51,-41,-11,11
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-05-31,-63,-32,-78,-63,-22,17
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-01,-38,-22,-58,-40,-12,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-02,-33,-15,-49,-34,-11,11
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-03,-31,-13,-49,-32,-12,11
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-04,-33,-16,-48,-32,-13,11
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-05,-35,-14,-59,-36,-13,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-06,-41,-17,-67,-47,-15,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-07,-53,-23,-71,-52,-16,15
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-08,-32,-19,-56,-36,-10,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-09,-32,-18,-53,-35,-10,11
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-10,-27,-13,-47,-30,-10,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-11,-32,-19,-52,-34,-12,11
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-12,-28,-13,-52,-33,-10,11
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-13,-29,-9,-59,-39,-9,11
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-14,-39,-15,-59,-44,-6,11
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-15,-28,-17,-53,-33,-9,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-16,-28,-15,-44,-31,-7,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-17,-26,-12,-45,-28,-8,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-18,-37,-23,-59,-40,-14,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-19,-32,-14,-58,-39,-28,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-20,-30,-12,-50,-37,-10,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-21,-50,-27,-72,-56,-17,14
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-22,-28,-16,-50,-31,-8,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-23,-38,-25,-60,-39,-12,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-24,-42,-26,-66,-44,-14,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-25,-34,-19,-55,-33,-9,11
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-26,-30,-16,-54,-32,-7,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-27,-32,-14,-56,-39,-10,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-28,-40,-19,-59,-46,-13,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-29,-29,-19,-54,-31,-5,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-06-30,-48,-35,-69,-49,-12,14
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-01,-32,-13,-58,-35,-9,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-02,-26,-9,-50,-28,-6,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-03,-22,-5,-50,-27,-4,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-04,-22,-4,-52,-33,-8,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-05,-33,-12,-59,-43,-14,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-06,-17,-8,-47,-24,-4,8
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-07,-24,-11,-51,-26,-6,8
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-08,-26,-13,-54,-28,-7,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-09,-22,-11,-46,-23,-5,8
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-10,-20,-7,-50,-26,-4,8
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-11,-16,0,-46,-28,-8,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-12,-37,-13,-66,-42,-8,11
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-13,-25,-15,-52,-28,-4,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-14,-29,-17,-51,-30,-5,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-15,-26,-13,-48,-28,-6,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-16,-31,-18,-53,-30,-6,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-17,-28,-12,-52,-34,-6,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-18,-44,-22,-54,-48,-35,14
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-19,-29,-14,-40,-39,-14,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-20,-21,-13,-38,-27,-11,8
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-21,-30,-18,-47,-33,-13,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-22,-35,-21,-57,-37,-14,11
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-23,-42,-29,-62,-42,-17,13
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-24,-35,-20,-60,-38,-14,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-25,-31,-14,-50,-37,-12,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-26,-37,-18,-49,-43,-15,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-27,-29,-21,-48,-33,-13,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-28,-33,-21,-50,-35,-14,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-29,-29,-18,-45,-32,-15,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-30,-31,-22,-43,-34,-15,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-07-31,-28,-16,-47,-33,-13,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-01,-22,-7,-35,-31,-10,8
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-02,-32,-13,-45,-42,-14,11
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-03,-20,-11,-33,-26,0,7
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-04,-17,-5,-25,-22,0,5
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-05,-16,-5,-27,-21,-1,5
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-06,-27,-14,-48,-28,-2,7
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-07,-30,-15,-58,-36,-4,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-08,-19,-4,-46,-32,-9,8
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-09,-37,-16,-59,-46,-15,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-10,-18,-8,-42,-25,0,7
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-11,-22,-10,-44,-26,0,6
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-12,-20,-8,-42,-23,0,6
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-13,-20,-11,-38,-23,-1,6
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-14,-18,-7,-40,-26,0,6
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-15,-14,0,-40,-29,-7,7
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-16,-25,-8,-44,-36,-11,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-17,-22,-15,-39,-25,1,6
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-18,-26,-15,-38,-27,3,6
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-19,-31,-18,-55,-31,-1,8
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-20,-32,-20,-50,-32,-2,8
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-21,-26,-14,-47,-28,2,7
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-22,-23,-11,-35,-29,-9,7
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-23,-26,-13,-32,-35,-15,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-24,-15,1,-26,-23,-6,4
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-25,-67,-49,-59,-67,-69,19
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-26,-40,-28,-61,-39,-3,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-27,-35,-22,-51,-32,-1,8
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-28,-28,-16,-47,-30,3,7
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-29,-36,-19,-60,-42,-11,10
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-30,-33,-17,-47,-43,-15,11
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-08-31,-29,-20,-51,-30,5,7
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-01,-37,-21,-57,-34,1,8
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-02,-45,-28,-67,-46,-7,12
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-03,-28,-11,-49,-30,1,7
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-04,-20,-6,-42,-24,4,5
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-05,-17,-4,-38,-26,-8,6
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-06,-25,-8,-45,-36,-16,9
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-07,-18,-8,-39,-22,5,5
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-08,-22,-8,-35,-22,4,4
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-09,-24,-11,-42,-25,2,5
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-10,-21,-11,-31,-22,3,3
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-11,-21,-10,-40,-24,1,4
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-12,-18,-7,-33,-26,-10,5
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-13,-25,-12,-41,-35,-17,8
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-14,-20,-12,-38,-24,9,4
UY,Uruguay,,,,,,ChIJCd5f-zoHdZURSlIWYGGWVUo,2020-09-15,-25,-14,-38,-25,7,5
